Rotates both wheels!! anti clockwise
for each duty_cycle_sp: initial angle, desired angle, final angle, final - desired
v = 20
-69	-159	-163
-163	-253	-255
-255	-345	-348
-348	-438	-443
-443	-533	-537
-537	-627	-632
-632	-722	-726
-726	-816	-821
-821	-911	-913
-913	-1003	-1008
v = 30
-1008	-1098	-1113
-1113	-1203	-1218
-1218	-1308	-1318
-1318	-1408	-1420
-1420	-1510	-1518
-1518	-1608	-1619
-1619	-1709	-1720
-1720	-1810	-1819
-1819	-1909	-1920
-1920	-2010	-2022
v = 40
-2022	-2112	-2136
-2136	-2226	-2246
-2246	-2336	-2362
-2362	-2452	-2472
-2472	-2562	-2585
-2585	-2675	-2695
-2695	-2785	-2808
-2808	-2898	-2919
-2919	-3009	-3029
-3029	-3119	-3142
v = 50
-3142	-3232	-3258
-3258	-3348	-3380
-3380	-3470	-3499
-3499	-3589	-3617
-3617	-3707	-3736
-3736	-3826	-3854
-3854	-3944	-3975
-3975	-4065	-4092
-4092	-4182	-4216
-4216	-4306	-4334
v = 60
-4334	-4424	-4464
-4464	-4554	-4598
-4598	-4688	-4734
-4734	-4824	-4866
-4866	-4956	-5000
-5000	-5090	-5133
-5133	-5223	-5265
-5265	-5355	-5399
-5399	-5489	-5531
-5531	-5621	-5664
v = 70
-5664	-5754	-5829
-5829	-5919	-5996
-5996	-6086	-6158
-6158	-6248	-6301
-6301	-6391	-6461
-6461	-6551	-6600
-6600	-6690	-6765
-6765	-6855	-6936
-6936	-7026	-7100
-7100	-7190	-7260
