intial angle, final angle, final - initial
v = 10
-5479	-5479	0
-5479	-5479	0
-5479	-5479	0
-5479	-5479	0
-5479	-5479	0
-5479	-5479	0
-5479	-5479	0
-5479	-5479	0
-5479	-5479	0
-5479	-5479	0
v = 20
-5479	-5479	0
-5479	-5478	1
-5478	-5477	1
-5477	-5476	1
-5476	-5475	1
-5475	-5475	0
-5475	-5474	1
-5474	-5473	1
-5473	-5473	0
-5473	-5471	2
v = 30
-5471	-5469	2
-5469	-5467	2
-5467	-5465	2
-5465	-5462	3
-5462	-5460	2
-5460	-5458	2
-5458	-5455	3
-5455	-5452	3
-5452	-5450	2
-5450	-5447	3
v = 40
-5447	-5442	5
-5442	-5437	5
-5437	-5431	6
-5431	-5426	5
-5426	-5421	5
-5421	-5415	6
-5415	-5410	5
-5410	-5405	5
-5405	-5399	6
-5399	-5394	5
v = 50
-5394	-5387	7
-5387	-5380	7
-5380	-5374	6
-5374	-5369	5
-5369	-5364	5
-5364	-5358	6
-5358	-5352	6
-5352	-5345	7
-5345	-5338	7
-5338	-5332	6
v = 60
-5332	-5322	10
-5322	-5313	9
-5313	-5304	9
-5304	-5295	9
-5295	-5287	8
-5287	-5280	7
-5280	-5273	7
-5273	-5266	7
-5266	-5256	10
-5256	-5247	9
v = 70
-5247	-5235	12
-5235	-5224	11
-5224	-5213	11
-5213	-5202	11
-5202	-5192	10
-5192	-5183	9
-5183	-5171	12
-5171	-5159	12
-5159	-5146	13
-5146	-5133	13
v = 80
-5133	-5119	14
-5119	-5106	13
-5106	-5093	13
-5093	-5077	16
-5077	-5063	14
-5063	-5047	16
-5047	-5033	14
-5033	-5020	13
-5020	-5009	11
-5009	-4995	14
v = 90
-4995	-4979	16
-4979	-4962	17
-4962	-4948	14
-4948	-4933	15
-4933	-4921	12
-4921	-4905	16
-4905	-4888	17
-4888	-4870	18
-4870	-4855	15
-4855	-4841	14
v = 100
-4841	-4820	21
-4820	-4799	21
-4799	-4779	20
-4779	-4763	16
-4763	-4744	19
-4744	-4722	22
-4722	-4701	21
-4701	-4684	17
-4684	-4666	18
-4666	-4647	19
