This exp uses run forever to rotate the robot clockwise 90 degrees and stop once it reaches the desired angle
then the final angle is recorded
This exp rotates BOTH wheels
note for v=20, left wheel does not move while right wheel moves


for each duty_cycle_sp: initial angle, desired angle, final angle
v = 20
-4764	-4674	-4672
-4672	-4582	-4581
-4581	-4491	-4490
-4490	-4400	-4399
-4399	-4309	-4308
-4308	-4218	-4217
-4217	-4127	-4125
-4125	-4035	-4033
-4033	-3943	-3942
-3942	-3852	-3851
v = 30
-3851	-3761	-3753
-3753	-3663	-3656
-3656	-3566	-3558
-3558	-3468	-3460
-3460	-3370	-3363
-3363	-3273	-3265
-3265	-3175	-3169
-3169	-3079	-3071
-3071	-2981	-2974
-2974	-2884	-2875
v = 40
-2875	-2785	-2770
-2770	-2680	-2659
-2659	-2569	-2555
-2555	-2465	-2446
-2446	-2356	-2339
-2339	-2249	-2234
-2234	-2144	-2127
-2127	-2037	-2022
-2022	-1932	-1918
-1918	-1828	-1809
v = 50
-1809	-1719	-1695
-1695	-1605	-1579
-1579	-1489	-1466
-1466	-1376	-1352
-1352	-1262	-1239
-1239	-1149	-1125
-1125	-1035	-1012
-1012	-922	-895
-895	-805	-782
-782	-692	-668
v = 60
-668	-578	-547
-547	-457	-414
-414	-324	-289
-289	-199	-163
-163	-73	-36
-36	54	88
88	178	217
217	307	342
342	432	471
471	561	600
v = 70
600	690	740
740	830	881
881	971	1021
1021	1111	1166
1166	1256	1308
1308	1398	1448
1448	1538	1590
1590	1680	1740
1740	1830	1878
1878	1968	2022
v = 80
2022	2112	2186
2186	2276	2336
2336	2426	2499
2499	2589	2653
2653	2743	2801
2801	2891	2960
2960	3050	3115
3115	3205	3264
3264	3354	3428
3428	3518	3586
v = 90
3586	3676	3750
3750	3840	3924
3924	4014	4098
4098	4188	4268
4268	4358	4443
4443	4533	4621
4621	4711	4797
4797	4887	4970
4970	5060	5134
5134	5224	5305
v = 100
5305	5395	5492
5492	5582	5690
5690	5780	5877
5877	5967	6060
6060	6150	6253
6253	6343	6455
6455	6545	6645
6645	6735	6833
6833	6923	7014
7014	7104	7206
