v = 10
-4426	-4426	0
-4426	-4426	0
-4426	-4426	0
-4426	-4426	0
-4426	-4427	-1
-4427	-4427	0
-4427	-4427	0
-4427	-4427	0
-4427	-4427	0
-4427	-4427	0
v = 20
-4427	-4429	-2
-4429	-4430	-1
-4430	-4432	-2
-4432	-4433	-1
-4433	-4435	-2
-4435	-4436	-1
-4436	-4438	-2
-4438	-4440	-2
-4440	-4441	-1
-4441	-4443	-2
v = 30
-4443	-4447	-4
-4447	-4450	-3
-4450	-4453	-3
-4453	-4458	-5
-4458	-4461	-3
-4461	-4465	-4
-4465	-4469	-4
-4469	-4473	-4
-4473	-4477	-4
-4477	-4481	-4
v = 40
-4481	-4488	-7
-4488	-4494	-6
-4494	-4501	-7
-4501	-4507	-6
-4507	-4514	-7
-4514	-4520	-6
-4520	-4526	-6
-4526	-4532	-6
-4532	-4538	-6
-4538	-4545	-7
v = 50
-4545	-4553	-8
-4553	-4562	-9
-4562	-4571	-9
-4571	-4580	-9
-4580	-4590	-10
-4590	-4599	-9
-4599	-4607	-8
-4607	-4615	-8
-4615	-4624	-9
-4624	-4632	-8
v = 60
-4632	-4643	-11
-4643	-4654	-11
-4654	-4667	-13
-4667	-4678	-11
-4678	-4689	-11
-4689	-4700	-11
-4700	-4711	-11
-4711	-4722	-11
-4722	-4733	-11
-4733	-4746	-13
v = 70
-4746	-4762	-16
-4762	-4776	-14
-4776	-4789	-13
-4789	-4804	-15
-4804	-4819	-15
-4819	-4835	-16
-4835	-4850	-15
-4850	-4865	-15
-4865	-4880	-15
-4880	-4894	-14
v = 80
-4894	-4911	-17
-4911	-4931	-20
-4931	-4948	-17
-4948	-4965	-17
-4965	-4982	-17
-4982	-5000	-18
-5000	-5017	-17
-5017	-5035	-18
-5035	-5052	-17
-5052	-5068	-16
v = 90
-5068	-5086	-18
-5086	-5107	-21
-5107	-5127	-20
-5127	-5147	-20
-5147	-5168	-21
-5168	-5190	-22
-5190	-5212	-22
-5212	-5233	-21
-5233	-5255	-22
-5255	-5275	-20
v = 100
-5275	-5300	-25
-5300	-5323	-23
-5323	-5345	-22
-5345	-5368	-23
-5368	-5390	-22
-5390	-5412	-22
-5412	-5436	-24
-5436	-5460	-24
-5460	-5485	-25
-5485	-5510	-25
