intial angle, final angle, final - intial
v = 10
-2224	-2224	0
-2224	-2224	0
-2224	-2225	-1
-2225	-2225	0
-2225	-2225	0
-2225	-2225	0
-2225	-2225	0
-2225	-2225	0
-2225	-2225	0
-2225	-2225	0
v = 20
-2225	-2228	-3
-2228	-2231	-3
-2231	-2234	-3
-2234	-2236	-2
-2236	-2240	-4
-2240	-2243	-3
-2243	-2247	-4
-2247	-2250	-3
-2250	-2253	-3
-2253	-2257	-4
v = 30
-2257	-2264	-7
-2264	-2272	-8
-2272	-2280	-8
-2280	-2287	-7
-2287	-2295	-8
-2295	-2302	-7
-2302	-2309	-7
-2309	-2316	-7
-2316	-2324	-8
-2324	-2331	-7
v = 40
-2331	-2343	-12
-2343	-2354	-11
-2354	-2365	-11
-2365	-2377	-12
-2377	-2388	-11
-2388	-2399	-11
-2399	-2409	-10
-2409	-2421	-12
-2421	-2433	-12
-2433	-2446	-13
v = 50
-2446	-2465	-19
-2465	-2483	-18
-2483	-2501	-18
-2501	-2520	-19
-2520	-2538	-18
-2538	-2556	-18
-2556	-2571	-15
-2571	-2585	-14
-2585	-2600	-15
-2600	-2614	-14
v = 60
-2614	-2636	-22
-2636	-2660	-24
-2660	-2683	-23
-2683	-2708	-25
-2708	-2732	-24
-2732	-2756	-24
-2756	-2780	-24
-2780	-2803	-23
-2803	-2826	-23
-2826	-2848	-22
v = 70
-2848	-2879	-31
-2879	-2912	-33
-2912	-2939	-27
-2939	-2968	-29
-2968	-2995	-27
-2995	-3024	-29
-3024	-3052	-28
-3052	-3080	-28
-3080	-3111	-31
-3111	-3142	-31
v = 80
-3142	-3183	-41
-3183	-3217	-34
-3217	-3250	-33
-3250	-3284	-34
-3284	-3321	-37
-3321	-3358	-37
-3358	-3394	-36
-3394	-3426	-32
-3426	-3461	-35
-3461	-3500	-39
v = 90
-3500	-3544	-44
-3544	-3585	-41
-3585	-3622	-37
-3622	-3664	-42
-3664	-3706	-42
-3706	-3749	-43
-3749	-3791	-42
-3791	-3832	-41
-3832	-3877	-45
-3877	-3922	-45
v = 100
-3922	-3971	-49
-3971	-4017	-46
-4017	-4066	-49
-4066	-4118	-52
-4118	-4169	-51
-4169	-4217	-48
-4217	-4266	-49
-4266	-4317	-51
-4317	-4366	-49
-4366	-4411	-45
